ID;Depth from;Depth to;Soil Type;Soil Description;USCS
BHD1464;1.2;2.2;SILT SANDY GRAVELLY;Medium dense brown slightly gravelly slightly sandy SILT of low plasticity. Sand is fine to coarse. Gravel is fine to course subangular to subrounded of mixed lithologies including granite, psammite and sandstone;
BHD1464;2.2;4.6;GRAVEL SILTY SANDY;Medium dense greyish brown very sandy silty fine to coarse subangular to rounded GRAVEL of mixed lithologies including granite, psammite and sandstone. Sand is fine to coarse;
BHD1464;4.6;5.7;SAND SILTY GRAVELLY;Brown slightly gravelly very silty fine to medium SAND. Gravel is fine to medium subangular to rounded of mixed lithologies including granite, psammite and sandstone;
BHD1464;5.7;7.5;SAND SILTY;Dense brown very silty fine to medium SAND;
BHD1464;7.5;9.1;GRAVEL SILTY SANDY;Brown silty fine to coarse SAND and fine to medium subangular to rounded GRAVEL of mixed litholgies including granite, psammite and sandstone;
BHD1464;9.1;12.1;SAND SILTY;Brown silty fine to medium SAND;
BHD1464;12.1;12.5;SAND SILTY GRAVELLY;Brown very gravelly very silty fine to coarse SAND. Gravel is fine to coarse subrounded to rounded of mixed lithologies including granite, psammite and sandstone;
BHD1464;12.5;16.1;SILT SANDY GRAVELLY;Dense brown slightly gravelly sandy SILT. Sand is predominantly fine. Gravel is fine to medium subrounded to rounded of psammite and sandstone;
BHD1464;16.1;17.7;SAND SILTY GRAVELLY;Very dense brown gravelly silty fine to coarse SAND. Gravel is fine to coarse subrounded to rounded of mixed lithologies including granite, psammite and sandstone;
BHD1464;17.7;19.2;SAND SILTY GRAVELLY COBBLY;Very dense brown very gravelly silty fine to coarse SAND with cobbles. Gravel is fine to coarse subangular to subrounded of mixed lithologies including granite, sandstone and quartzite. Cobbles are subrounded quartzite;
BHD1464;19.2;22.2;GRAVEL SILTY SANDY COBBLY;Very dense reddish brown very silty fine to coarse SAND and fine to coarse subangular to subrounded GRAVEL of mixed lithologies including granite, sandstone and quartzite with cobbles.  Cobbles are subrounded of quartzite;
BHD1464;22.2;23.4;SANDSTONE;Very weak locally medium strong highly weathered locally thinly laminated light grey and brown fine grained SANDSTONE. Destructured evident as reduction to sandy clay, loss of strength and orange brown staining throughout. No discernible fracture sets;
BHD1464;23.4;27.6;SANDSTONE;Medium strong locally weak light grey and brown thinly bedded locally thinly laminated fine grained locally medium grained SANDSTONE. Distinctly weathered evident as local reduction to clay, loss of strength and reddish brown staining along fracture surfaces. Two fracture sets visible: No.1 bedding related closely and medium spaced, subhorizontal undulose locally planar and rough. No.2 single, joint related, subvertical, undulose and rough;
BHD1465;0;0.8;TOPSOIL;TOPSOIL (dark brown slightly gravelly fine to coarse sand with pockets of peat and frequent rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, schist and granite);
BHD1465;0.8;1.2;PEAT;Dark brown spongy fibrous PEAT (H6/B3);
BHD1465;1.2;1.9;SAND SILTY GRAVELLY;Medium dense brown very gravelly very silty fine to coarse SAND. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, schist and granite;
BHD1465;1.9;4.2;GRAVEL SILTY SANDY COBBLY;Medium dense greyish brown silty sandy fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, schist and granite with cobbles. Sand is fine to coarse. Cobbles are subangular to subrounded of mixed lithologies including sandstone, schist and granite;
BHD1465;4.2;7.2;GRAVEL SILTY SANDY COBBLY;Medium dense brown very sandy silty fine to coarse subrounded to rounded GRAVEL of mixed lithologies including schist, sandstone and psammite with cobbles. Sand is fine to coarse. Cobbles are subangular to subrounded of mixed lithologies including sandstone, schist and granite;
BHD1465;7.2;10.2;GRAVEL SILTY SANDY;Very dense light brown very sandy silty fine to coarse subrounded to rounded GRAVEL of mixed lithologies including schist, sandstone and psammite. Sand is fine to coarse;
BHD1465;10.2;19.2;SAND SILTY GRAVELLY;Medium dense light brown very gravelly slightly silty fine to medium SAND. Gravel is fine to coarse subrounded to rounded of mixed lithologies including schist, sandstone and psammite;
BHD1465;19.2;20.7;SAND SILTY GRAVELLY;Brown gravelly very silty fine to medium SAND. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, schist and granite;
BHD1465;20.7;21.4;GRAVEL SILTY SANDY;Brown very sandy silty fine to coarse subrounded to rounded GRAVEL of mixed lithologies including sandstone, schist and granite;
BHD1465;21.4;22.5;SILT SANDY GRAVELLY;Medium dense brown slightly gravelly slightly sandy SILT. Sand is fine to coarse. Gravel is fine to coarse subrounded to rounded of mixed lithologies including sandstone, schist and granite;
BHD1465;22.5;23.7;SAND SILTY GRAVELLY;Reddish brown very gravelly very silty fine to coarse SAND with pockets of clay of low plasticity. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, granite and schist;
BHD1465;23.7;25.2;SILT SANDY GRAVELLY;Reddish brown slightly gravelly slightly sandy SILT. Sand is fine to coarse. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, schist and granite;
BHD1465;25.2;26.3;SANDSTONE;Weak and very weak reddish brown with occasional off white thin beds thin and medium bedded fine to medium grained SANDSTONE. Distinctly weathered to destructured evident as loss of strength and structure. Non intact. Where visable, fractures are close to medium spaced 10deg-20deg undulose and rough;
BHD1465;26.3;27.8;SANDSTONE;Weak locally medium strong reddish brown medium bedded fine to medium grained SANDSTONE with occasional mudstone laminae. Distinctly weathered evident as loss of strength throughout and local grey discolouration. Two fracture sets. No.1: medium spaced, 10-20deg, undulose, rough. No.2: closely spaced, ~45deg, undulose, rough;
BHD1465;27.8;29.2;CONGLOMERATE;Weak reddish brown locally grey thin and medium bedded CONGLOMERATE, matrix is of very sandy clay, clasts are up to 5cm diameter subangular of sandstone. Distinctly weathered evident as loss of strength throughout, locally rock is destructured due to weathering. Fractures are closely spaced, subhorizontal, undulose, rough;
BHD1465;29.2;29.6;SANDSTONE;Weak locally medium strong reddish brown medium bedded fine to medium grained SANDSTONE with occasional mudstone laminae. Distinctly weathered evident as loss of strength throughout and local grey discolouration. Two fracture sets. No.1: medium spaced, 10-20deg, undulose, rough. No.2: closely spaced, ~45deg, undulose, rough;
BHD1465;29.6;31.6;MUDSTONE;Medium strong reddish brown thinly laminated MUDSTONE with sandy laminae. Partially weathered, evident as loss of strength and grey discolouration. Two fracture sets. No.1: closely spaced, subhorizontal, planar, smooth. No.2: medium spaced, subvertical, undulose, rough;
BHD1466;0;0.6;TOPSOIL;TOPSOIL (Dark brown sandy peat with rootlets. Sand is fine to coarse H8/B2);
BHD1466;0.6;2.7;PEAT;Very soft dark brown spongy pseudofibrous PEAT (H7/B3);
BHD1466;2.7;5.9;GRAVEL SILTY SANDY COBBLY;Medium dense brown sandy slightly silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, psammite and granite with cobbles. Sand is fine to coarse. Cobbles are subrounded and rounded of granite;
BHD1466;5.9;6.2;COBBLES and BOULDERS;# OBSTRUCTION: Pushing boulder;
BHD1466;6.2;11.2;GRAVEL SILTY SANDY COBBLY;Medium dense brown sandy slightly silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, psammite and granite with cobbles. Sand is fine to coarse. Cobbles are subrounded of granite and sandstone;
BHD1466;11.2;12.4;SAND SILTY GRAVELLY;Medium dense light brown slightly gravelly silty fine to coarse SAND. Gravel is fine to coarse subangular to subrounded of mixed lithologies including schist, granite and gneiss;
BHD1466;12.4;15;SAND SILTY GRAVELLY;Medium dense brown gravelly very silty fine to coarse SAND. Gravel is fine to medium subangular to subrounded of mixed lithologies including sandstone, psammite and granite;
BHD1467;0;0.15;MADE GROUND;# MADE GROUND (asphalt);
BHD1467;0.15;1.2;MADE GROUND;Greyish brown very sandy silty fine to coarse subangular to rounded GRAVEL of mixed lithologies including granite, psammite and schist with cobbles. Sand is fine to coarse. Cobbles are subrounded to rounded of mixed lithologies including granite, psammite and schist. (possible made ground);
BHD1467;1.2;4.2;MADE GROUND;Greyish brown silty fine to coarse SAND and fine to coarse subangular to rounded GRAVEL of mixed lithologies including granite, psammite and schist with cobbles. Cobbles are subrounded to rounded of mixed lithologies including granite, psammite and schist (possible made ground);
BHD1467;4.2;7.2;MADE GROUND;Greyish brown very sandy silty fine to coarse subangular to rounded GRAVEL of mixed lithologies including granite, psammite and schist. Sand is fine to coarse (possible made ground);
BHD1467;7.2;8.7;SAND SILTY GRAVELLY;Dense grey slightly gravelly sandy SILT of low plasticity. Sand is fine to coarse. Gravel is fine to medium subrounded and subangular of mixed lithologies including granite, psammite and sandstone;
BHD1467;8.7;11.7;SAND SILTY GRAVELLY;Medium dense grey very gravelly silty fine to coarse SAND with pockets of clay. Gravel is fine to medium subrounded and subangular of mixed lithologies including granite, psammite and sandstone;
BHD1467;11.7;12.15;SAND GRAVELLY;# Brown gravelly SAND (NO RECOVERY);
BHD1468;0;0.4;TOPSOIL;TOPSOIL (dark brown gravelly silty fine to coarse sand with occasional rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, granite and gneiss);
BHD1468;0.4;1.2;GRAVEL SILTY SANDY;Dark brown sandy silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including gneiss, granite and psammite. Sand is fine to coarse;
BHD1468;1.2;2.7;PEAT;Very soft black amorphous plastic PEAT (H8/B4);
BHD1468;2.7;3.7;SILT SANDY GRAVELLY;Loose brownish grey slightly gravelly sandy SILT of low plasticity. Sand is fine to coarse. Gravel is fine to coarse subrounded and rounded of mixed lithologies including gneiss, granite and psammite;
BHD1468;3.7;7.2;GRAVEL SILTY SANDY COBBLY;Dense brown sandy slightly silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including granite, gneiss and psammite with cobbles. Sand is fine to coarse. Cobbles are subrounded of psammite and granite;
BHD1468;7.2;8.7;SILT SANDY;Very dense brown slightly sandy SILT of low plasticity. Sand is fine to medium;
BHD1468;8.7;15.15;SAND SILTY;Dense brown very silty fine to medium SAND;
BHD1469;0;0.5;TOPSOIL;TOPSOIL (dark brown clayey fine to medium sand with frequent rootlets);
BHD1469;0.5;1.6;PEAT;Very soft black spongy pseudo-fibrous PEAT (H7/B3);
BHD1469;1.6;2.7;SAND SILTY GRAVELLY COBBLY;Grey very gravelly silty fine to coarse SAND with cobbles. Gravel is fine to coarse subangular to subrounded of mixed lithologies including psammite, schist and granite. Cobbles are subrounded to rounded of schist and granite;
BHD1469;2.7;4.2;SAND SILTY GRAVELLY;Medium dense brown gravelly slightly silty fine to coarse SAND. Gravel is fine to medium subrounded to rounded of mixed lithologies including sandstone, schist and granite;
BHD1469;4.2;5.7;SAND SILTY GRAVELLY;Dense brown very gravelly silty fine to coarse SAND. Gravel is fine to coarse subrounded to rounded of mixed lithologies including granite, gneiss and quartzite;
BHD1469;5.7;7.2;SAND SILTY GRAVELLY;Dense brown silty fine to coarse SAND and fine to coarse subrounded to rounded GRAVEL of granite and gneiss;
BHD1469;7.2;14.7;SILT SANDY;Loose brown slightly sandy SILT becoming more sandy with depth. Sand is fine.;
BHD1469;14.7;17.7;SILT SANDY GRAVELLY;Dense brown slightly gravelly sandy SILT. Sand is fine to coarse. Gravel is fine to coarse subrounded to rounded of gneiss and granite;
BHD1469;17.7;18.7;SILT SANDY GRAVELLY COBBLY;Brown slightly gravelly slightly sandy SILT with cobbles. Sand is fine to coarse. Gravel is fine to coarse subrounded to rounded of gneiss and granite. Cobbles are subrounded and rounded of granite;
BHD1469;18.7;20.2;SILT SANDY GRAVELLY;Reddish brown slightly gravelly slightly sandy SILT of low plasticity. Sand is fine to coarse. Gravel is fine to coarse angular to subangular of sandstone;
BHD1469;20.2;20.8;SAND and GRAVEL;Grey and reddish brown fine to coarse SAND and fine to coarse subangular to subrounded GRAVEL of sandstone. (WEATHERED SANDSTONE);
BHD1469;20.8;25.9;SANDSTONE;Weak locally medium strong reddish brown thinly bedded fine grained SANDSTONE with clasts of pale green sandstone. Distinctly weathered evident as a local complete weathering to silt. Single discernable fracture set: Close and medium spaced, 45deg dipping, stepped and rough;
BHD1470;0;0.15;TOPSOIL;TOPSOIL (dark brown sandy gravelly fine to coarse sand with rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including schist, granite and sandstone);
